,top 1,top 2,top 3,date
212,20,48,27,10/30/2016
213,18,52,26,11/6/2016
214,21,55,25,11/13/2016
215,25,58,27,11/20/2016
216,28,61,25,11/27/2016
217,18,61,27,12/4/2016
218,19,55,22,12/11/2016
219,21,48,25,12/18/2016
220,27,57,24,12/25/2016
221,20,45,20,1/1/2017
222,23,49,24,1/8/2017
223,22,48,29,1/15/2017
224,24,48,25,1/22/2017
225,20,54,31,1/29/2017
226,18,55,24,2/5/2017
227,19,51,24,2/12/2017
228,21,59,28,2/19/2017
229,21,70,32,2/26/2017
230,21,66,31,3/5/2017
231,22,72,31,3/12/2017
232,22,72,31,3/19/2017
233,19,80,32,3/26/2017
234,23,81,35,4/2/2017
235,18,98,30,4/9/2017
236,22,90,38,4/16/2017
237,24,80,36,4/23/2017
238,19,82,36,4/30/2017
239,19,80,36,5/7/2017
240,19,88,40,5/14/2017
241,16,97,37,5/21/2017
242,21,100,41,5/28/2017
243,19,86,42,6/4/2017
244,20,96,43,6/11/2017
245,17,97,39,6/18/2017
246,18,95,37,6/25/2017
247,21,88,39,7/2/2017
248,21,92,40,7/9/2017
249,19,89,37,7/16/2017
250,19,96,37,7/23/2017
251,20,87,35,7/30/2017
252,19,77,36,8/6/2017
253,20,74,35,8/13/2017
254,19,73,34,8/20/2017
255,17,74,36,8/27/2017
256,18,72,35,9/3/2017
257,17,67,37,9/10/2017
258,18,66,32,9/17/2017
259,19,62,31,9/24/2017
260,20,78,27,10/1/2017
